d,ep,stress,total_strain
0,0,0,0
0,0,6.8797190688834,0.00010000499999996
0,0,13.758876406772,0.00020002000000019
0,0,20.637472210089,0.00030004500000014
0,0,27.515506675533,0.00040007999999991
0,0,34.392979999637,0.00050012499999996
0,0,41.269892378678,0.00060017999999995
0,0,48.146244008907,0.00070024499999988
0,0,55.022035086583,0.00080031999999997
0,0,61.897265807749,0.0009004050000001
0,0,68.771936368316,0.0010004999999998
0,0,75.646046964262,0.0011006050000001
0,0,82.519597791284,0.00120072
0,0,89.392589045056,0.0013008449999996
0,0,96.265020921483,0.0014009800000001
0,0,103.13689361573,0.0015011250000001
0,0,110.00820732331,0.00160128
0,0,116.8789622396,0.001701445
0,0,123.74915855968,0.0018016200000001
0,0,130.61879647884,0.001901805
0,0,137.48787619202,0.0020019999999999
0,0,144.35639789416,0.002102205
0,0,151.22436178008,0.0022024199999999
0,0,158.09176804461,0.002302645
0,0,164.95861688225,0.0024028799999996
0,0,171.82490848773,0.0025031249999999
0,0,178.69064305547,0.0026033799999999
0,0,185.55582077975,0.002703645
0,0,192.42044185486,0.0028039199999997
0,0,199.28450647504,0.0029042049999999
0,0,206.14801483432,0.0030044999999999
0,0,213.01096712673,0.0031048050000001
0,0,219.8733635461,0.0032051200000001
0,0,226.7352042863,0.0033054450000001
0,0,233.59648954101,0.00340578
0,0,240.45721950388,0.0035061250000002
0,0,247.31739436838,0.0036064800000003
0,0,254.17701432785,0.0037068450000003
0,0,261.03607957569,0.00380722
0,0,267.89459030526,0.0039076050000002
0,0,274.75254670947,0.0040079999999998
0,0,281.60994898162,0.004108405
0,0,288.46679731446,0.00420882
0,0,295.32309190095,0.004309245
0,0,302.17883293379,0.00440968
0,0,309.03402060574,0.0045101249999999
0,0,315.88865510934,0.0046105799999999
0,4.6888908975472e-05,319.52730861837,0.0047110449999997
0,0.00014584194086897,319.59517370176,0.00481152
0,0.00024478521116029,319.6630320448,0.0049120049999999
0,0.00034371872178399,319.73088364893,0.0050125000000001
0,0.00044264247467349,319.7987285154,0.0051130050000001
0,0.00054155647176241,319.86656664551,0.0052135200000003
0,0.00064046071498225,319.93439804074,0.0053140450000001
0,0.00073935520626575,320.00222270243,0.0054145800000003
0,0.00083823994754383,320.07004063183,0.0055151250000001
0,0.00093711494074732,320.13785183038,0.0056156799999998
0,0.0010359801878079,320.20565629922,0.005716245
0,0.001134835690654,320.2734540399,0.0058168200000003
0,0.0012336814512142,320.34124505367,0.005917405
